"lon","lat","codigo","tipo","area","anno"
-72.1101691133614,-2.82920567463853,"ACR_AA","acr",0.269526229746,"2015"
-72.1941462181667,-2.84856981133336,"ACR_AA","acr",0.0898552693091,"2009"
-72.1940783236567,-2.84877295965596,"ACR_AA","acr",0.359420854631,"2011"
-72.4316860675,-2.85292290099996,"ACR_AA","acr",0.0898900894304,"2018"
-72.0935759786667,-2.85265610733333,"ACR_AA","acr",0.0898397125762,"2019"
-72.4130716535,-2.85640572599993,"ACR_AA","acr",0.26966318268,"2018"
-72.4136103640828,-2.85667808125033,"ACR_AA","acr",0.0898879835694,"2018"
-72.398459296,-2.87887653999995,"ACR_AA","acr",0.0898858043873,"2018"
-72.3815773709999,-2.89117403299995,"ACR_AA","acr",0.359533499101,"2018"
-72.3771251846667,-2.89238377283337,"ACR_AA","acr",0.0898827852038,"2018"
-72.3689909054168,-2.89218408733344,"ACR_AA","acr",0.539288180348,"2018"
-72.3790121785829,-2.89265928525035,"ACR_AA","acr",0.0898829302394,"2018"
-72.3748318351658,-2.89292069475043,"ACR_AA","acr",0.179764493166,"2018"
-72.3759098472495,-2.89319433004185,"ACR_AA","acr",0.179764947949,"2018"
-72.3752356995,-2.89319276149995,"ACR_AA","acr",0.0898823911438,"2018"
-72.4485820932496,-2.89471673458374,"ACR_AA","acr",0.0898927200655,"2020"
-72.1445556255414,-2.89615649175032,"ACR_AA","acr",0.359390242899,"2002"
-72.1450069561658,-2.89699550384953,"ACR_AA","acr",0.98832383053,"2002"
-72.5116760810414,-2.90014527075042,"ACR_AA","acr",0.179803345402,"2023"
-72.3140047860828,-2.90145317475034,"ACR_AA","acr",0.0898736364612,"2018"
-72.3142737932496,-2.90172493108375,"ACR_AA","acr",0.0898732838278,"2018"
-72.3146773045828,-2.90213256475034,"ACR_AA","acr",0.359494006438,"2018"
-72.3150769730828,-2.90416687425036,"ACR_AA","acr",0.0898737612653,"2018"
-72.3161367934427,-2.90498274870106,"ACR_AA","acr",1.43797981951,"2018"
-72.3080622777504,-2.90577676941618,"ACR_AA","acr",0.0898726417387,"2018"
-72.307522983,-2.90577547699995,"ACR_AA","acr",0.0898724763621,"2018"
-72.3115654507495,-2.90673405566753,"ACR_AA","acr",0.179746132766,"2018"
-72.3110245487496,-2.90741054308372,"ACR_AA","acr",0.08987317988,"2018"
-72.3112935547496,-2.90768230058372,"ACR_AA","acr",0.089872827319,"2018"
-72.3149785421658,-2.90778149200081,"ACR_AA","acr",0.269620612163,"2018"
-72.3135849271657,-2.90795890025045,"ACR_AA","acr",0.179746937528,"2018"
-72.3123715068324,-2.90795599533414,"ACR_AA","acr",0.0898729714346,"2018"
-72.3126405135,-2.90822775299996,"ACR_AA","acr",0.0898732827585,"2018"
-72.3120393149434,-2.90961134887744,"ACR_AA","acr",4.13416411936,"2018"
-72.3123637964171,-2.91120933724956,"ACR_AA","acr",0.0898732201261,"2018"
-72.3115548480829,-2.91120739775036,"ACR_AA","acr",0.0898728869856,"2018"
-72.310692227783,-2.91109688391681,"ACR_AA","acr",0.449364482005,"2018"
-72.2764996372504,-2.91166500491616,"ACR_AA","acr",0.089867547671,"2011"
-72.2748785280829,-2.91301659025036,"ACR_AA","acr",0.0898677759045,"2011"
-72.2880806454999,-2.91738634799995,"ACR_AA","acr",0.0898692619589,"2018"
-72.3214623698031,-2.92162386670947,"ACR_AA","acr",0.539247272297,"2018"
-72.5542371095,-2.92369430699995,"ACR_AA","acr",0.0899072371981,"2014"
-72.2821347622496,-2.92306515808374,"ACR_AA","acr",0.0898686592724,"2018"
-72.4247844149999,-2.92394552849996,"ACR_AA","acr",0.269668932646,"2016"
-72.3128634521877,-2.9278840120423,"ACR_AA","acr",0.359493204888,"2018"
-72.3088150925,-2.92936536599995,"ACR_AA","acr",0.0898726478198,"2018"
-72.3088125009999,-2.93044980949996,"ACR_AA","acr",0.0898728971557,"2018"
-72.3080038655414,-2.93031229925045,"ACR_AA","acr",0.179744982731,"2018"
-72.0768417783888,-2.93058803700004,"ACR_AA","acr",0.269510256542,"2016"
-72.3139869289995,-2.92963417143608,"ACR_AA","acr",4.94303808887,"2018"
-72.3133940287504,-2.93154532341618,"ACR_AA","acr",0.0898733084808,"2018"
-72.309665215682,-2.93094890927249,"ACR_AA","acr",1.61770976776,"2018"
-72.4501128355,-2.93349367699994,"ACR_AA","acr",0.0898932157026,"2011"
-72.449573466,-2.93349244099995,"ACR_AA","acr",0.0898932165496,"2011"
-72.8463372975,-2.93473792049994,"ACR_AA","acr",0.179888704755,"2016"
